num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete
1,Internet,RoundTrip,15,31,17,Mon,AKLKUL,0,0,0,8.83,1
1,Internet,RoundTrip,31,274,10,Tue,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,316,35,16,Tue,AKLKUL,1,0,0,8.83,0
2,Internet,RoundTrip,232,17,3,Tue,AKLKUL,1,1,1,8.83,0
1,Internet,RoundTrip,156,19,14,Mon,AKLKUL,1,0,0,8.83,1
1,Internet,RoundTrip,6,106,19,Tue,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,227,68,2,Fri,AKLKUL,1,1,0,8.83,0
1,Mobile,RoundTrip,57,21,1,Sun,AKLKUL,1,1,1,8.83,0
2,Internet,RoundTrip,90,20,7,Thu,AKLKUL,0,0,1,8.83,0
1,Mobile,RoundTrip,127,17,16,Tue,AKLKUL,1,0,1,8.83,1
1,Internet,RoundTrip,51,21,9,Sat,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,5,87,5,Tue,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,65,278,2,Thu,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,263,58,4,Sun,AKLKUL,0,1,0,8.83,0
4,Internet,RoundTrip,230,29,17,Mon,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,42,17,14,Tue,AKLKUL,0,0,0,8.83,1
1,Internet,RoundTrip,22,180,13,Thu,AKLKUL,1,0,0,8.83,1
2,Internet,RoundTrip,179,18,11,Thu,AKLKUL,1,0,1,8.83,0
4,Internet,RoundTrip,366,17,16,Sun,AKLKUL,1,0,1,8.83,0
3,Internet,RoundTrip,229,17,13,Mon,AKLKUL,1,1,1,8.83,1
2,Internet,RoundTrip,174,61,11,Tue,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,75,62,6,Mon,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,83,44,3,Sat,AKLKUL,1,0,0,8.83,0
1,Mobile,RoundTrip,154,25,22,Mon,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,193,19,13,Tue,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,97,25,9,Sun,AKLKUL,1,0,0,8.83,0
5,Internet,RoundTrip,239,17,12,Thu,AKLKUL,1,0,1,8.83,0
1,Mobile,RoundTrip,53,18,9,Mon,AKLKUL,1,1,0,8.83,0
1,Internet,RoundTrip,28,125,12,Sat,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,384,18,5,Thu,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,70,106,3,Thu,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,8,45,8,Tue,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,142,124,9,Wed,AKLKUL,1,0,0,8.83,1
1,Mobile,RoundTrip,41,21,12,Tue,AKLKUL,1,0,0,8.83,0
5,Internet,RoundTrip,206,17,13,Sun,AKLKUL,1,0,0,8.83,0
5,Internet,RoundTrip,197,18,10,Fri,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,34,22,13,Tue,AKLKUL,1,0,1,8.83,1
2,Internet,RoundTrip,112,21,17,Tue,AKLKUL,1,0,0,8.83,0
2,Internet,RoundTrip,145,51,4,Wed,AKLKUL,1,1,1,8.83,0
1,Internet,RoundTrip,99,19,7,Wed,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,59,35,13,Sun,AKLKUL,0,1,0,8.83,1
2,Internet,RoundTrip,280,18,23,Tue,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,79,23,10,Tue,AKLKUL,0,0,0,8.83,0
5,Internet,RoundTrip,206,17,13,Sun,AKLKUL,1,0,0,8.83,0
4,Internet,RoundTrip,121,18,6,Sun,AKLKUL,1,1,1,8.83,0
4,Internet,RoundTrip,316,22,14,Thu,AKLKUL,1,0,0,8.83,1
5,Internet,RoundTrip,67,35,2,Tue,AKLKUL,1,1,1,8.83,1
1,Internet,RoundTrip,419,21,16,Sun,AKLKUL,1,0,0,8.83,0
2,Internet,RoundTrip,18,46,2,Mon,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,236,91,6,Fri,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,116,56,15,Thu,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,34,90,7,Sat,AKLKUL,1,1,0,8.83,0
3,Internet,RoundTrip,316,35,16,Tue,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,67,22,11,Mon,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,145,204,16,Fri,AKLKUL,1,1,1,8.83,0
1,Internet,RoundTrip,295,18,6,Mon,AKLKUL,0,0,0,8.83,0
2,Internet,RoundTrip,7,83,16,Tue,AKLKUL,1,0,1,8.83,0
2,Internet,RoundTrip,235,18,22,Tue,AKLKUL,1,0,1,8.83,1
2,Internet,RoundTrip,56,42,4,Thu,AKLKUL,1,0,1,8.83,1
2,Internet,RoundTrip,125,85,15,Thu,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,86,21,2,Sat,AKLKUL,1,0,0,8.83,0
4,Internet,RoundTrip,368,36,16,Sun,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,59,37,15,Sun,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,214,38,12,Thu,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,5,19,14,Thu,AKLKUL,1,0,0,8.83,0
2,Internet,RoundTrip,173,64,14,Thu,AKLKUL,0,0,0,8.83,0
1,Mobile,RoundTrip,22,82,10,Fri,AKLKUL,1,1,1,8.83,1
1,Internet,RoundTrip,325,22,4,Wed,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,218,17,2,Fri,AKLKUL,1,0,1,8.83,1
1,Internet,RoundTrip,189,35,8,Sun,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,35,41,15,Thu,AKLKUL,1,1,1,8.83,0
4,Internet,RoundTrip,226,17,6,Sun,AKLKUL,1,0,0,8.83,0
2,Internet,RoundTrip,88,30,8,Wed,AKLKUL,1,0,1,8.83,0
4,Internet,RoundTrip,211,21,10,Fri,AKLKUL,1,0,0,8.83,1
1,Internet,RoundTrip,259,82,9,Sun,AKLKUL,1,0,1,8.83,1
5,Internet,RoundTrip,188,17,12,Thu,AKLKUL,1,0,1,8.83,1
1,Internet,RoundTrip,172,54,8,Tue,AKLKUL,1,1,1,8.83,0
4,Internet,RoundTrip,38,17,4,Sun,AKLKUL,0,0,0,8.83,0
2,Internet,RoundTrip,9,84,13,Fri,AKLKUL,1,1,1,8.83,0
1,Internet,RoundTrip,70,20,14,Sat,AKLKUL,0,0,0,8.83,0
3,Internet,RoundTrip,35,17,3,Sun,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,77,28,15,Wed,AKLKUL,1,1,0,8.83,0
1,Internet,RoundTrip,106,27,7,Sun,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,134,26,15,Wed,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,3,36,16,Sun,AKLKUL,0,0,1,8.83,1
2,Internet,RoundTrip,9,44,8,Fri,AKLKUL,1,0,1,8.83,1
1,Internet,RoundTrip,222,23,9,Sat,AKLKUL,0,0,1,8.83,1
2,Internet,RoundTrip,64,29,12,Mon,AKLKUL,1,0,0,8.83,1
1,Internet,RoundTrip,66,20,14,Sun,AKLKUL,0,1,1,8.83,0
3,Internet,RoundTrip,89,22,6,Sat,AKLKUL,1,0,0,8.83,0
2,Internet,RoundTrip,105,91,12,Sat,AKLKUL,1,1,1,8.83,0
1,Internet,RoundTrip,13,18,9,Fri,AKLKUL,1,0,1,8.83,1
1,Mobile,RoundTrip,69,28,14,Thu,AKLKUL,1,1,1,8.83,0
5,Internet,RoundTrip,206,17,13,Sun,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,6,21,3,Fri,AKLKUL,1,0,0,8.83,0
2,Internet,RoundTrip,368,65,2,Sun,AKLKUL,1,0,1,8.83,1
1,Internet,RoundTrip,25,19,6,Fri,AKLKUL,1,1,0,8.83,0
1,Mobile,RoundTrip,123,70,22,Tue,AKLKUL,0,0,0,8.83,0
2,Internet,RoundTrip,298,22,7,Tue,AKLKUL,1,0,0,8.83,0
1,Mobile,RoundTrip,84,18,9,Wed,AKLKUL,0,0,0,8.83,0
1,Internet,RoundTrip,11,39,7,Sat,AKLKUL,1,0,0,8.83,0
2,Mobile,RoundTrip,162,18,4,Thu,AKLKUL,0,0,0,8.83,1
2,Internet,RoundTrip,9,54,7,Thu,AKLKUL,1,0,1,8.83,1
1,Mobile,RoundTrip,47,28,15,Sun,AKLKUL,1,0,0,8.83,0
6,Mobile,RoundTrip,349,21,5,Sun,AKLKUL,1,0,0,8.83,0
2,Internet,RoundTrip,109,21,17,Sun,AKLKUL,1,1,1,8.83,1
1,Internet,RoundTrip,0,23,5,Tue,AKLKUL,0,0,0,8.83,0
4,Internet,RoundTrip,38,21,0,Mon,AKLKUL,1,0,1,8.83,0
4,Internet,RoundTrip,192,20,6,Sun,AKLKUL,1,0,1,8.83,1
4,Mobile,RoundTrip,210,21,4,Sun,AKLKUL,1,0,0,8.83,0
2,Internet,RoundTrip,326,22,12,Sun,AKLKUL,0,0,0,8.83,1
2,Internet,RoundTrip,13,17,10,Tue,AKLKUL,1,1,1,8.83,0
2,Internet,RoundTrip,240,64,14,Wed,AKLKUL,0,1,0,8.83,0
3,Internet,RoundTrip,32,23,15,Wed,AKLKUL,1,0,0,8.83,1
3,Internet,RoundTrip,363,18,2,Mon,AKLKUL,1,1,1,8.83,0
1,Internet,RoundTrip,214,31,9,Sun,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,162,18,11,Tue,AKLKUL,1,0,0,8.83,1
5,Internet,RoundTrip,97,21,10,Wed,AKLKUL,1,1,0,8.83,1
2,Internet,RoundTrip,231,17,15,Tue,AKLKUL,1,1,1,8.83,0
2,Internet,RoundTrip,163,35,12,Fri,AKLKUL,1,0,1,8.83,1
1,Internet,RoundTrip,62,21,3,Thu,AKLKUL,1,1,0,8.83,0
2,Internet,RoundTrip,178,69,9,Fri,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,30,85,15,Fri,AKLKUL,1,0,0,8.83,1
1,Internet,RoundTrip,25,19,3,Wed,AKLKUL,1,0,1,8.83,0
1,Internet,RoundTrip,62,30,7,Thu,AKLKUL,1,0,1,8.83,0
5,Internet,RoundTrip,206,17,13,Sun,AKLKUL,1,0,0,8.83,0
1,Internet,RoundTrip,6,18,6,Tue,AKLKUL,1,0,1,8.83,1
1,Internet,RoundTrip,301,121,15,Sun,AKLKUL,0,1,0,8.83,0
1,Internet,RoundTrip,72,26,13,Wed,AKLKUL,1,0,1,8.83,0
2,Internet,RoundTrip,224,18,16,Tue,AKLKUL,1,0,1,8.83,0
3,Internet,RoundTrip,269,17,1,Fri,AKLKUL,1,1,1,8.83,0
